Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5, C6, C7, C8, C9",C0402,10,100nF,C60474
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R3, R4, R5, R6, R7, R8, R9",R0402,20,10kΩ,C25744
"U1, U10, U2, U3, U4, U5, U6, U7, U8, U9",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,10,~,C499458
