Designator,Mid X,Mid Y,Rotation,Layer
C0,29.6,-60.45,270.0,top
C1,27.2,-60.45,90.0,top
C101,20.6,-43.7,0.0,bottom
C102,20.6,-44.85,0.0,bottom
C103,34.45,-27.7,180.0,bottom
C104,35.55,-32.8,0.0,bottom
C105,24.3,-40.8,90.0,bottom
C106,25.5,-40.8,90.0,bottom
C107,25.746,-42.621,180.0,bottom
C108,25.775,-43.796,180.0,bottom
C109,20.6,-26.2,180.0,bottom
C110,35.65,-21.76,270.0,bottom
C111,31.9,-25.6,0.0,bottom
C112,32.78,-36.93,0.0,bottom
C113,20.65,-38.25,90.0,bottom
C114,34.42,-21.75,270.0,bottom
C115,22.3,-22.05,270.0,bottom
C2,34.55,-29.75,270.0,top
C21,27.6,-43.15,90.0,bottom
C3,32.35,-29.75,270.0,top
C31,31.5,-37.25,270.0,top
C32,35.9,-42.55,90.0,top
C33,34.65,-42.55,90.0,top
C4,21.95,-48.05,90.0,bottom
C41,21.85,-37.6575,0.0,top
C42,25.65,-37.65,270.0,top
C43,23.274,-43.5575,0.0,top
C44,29.55,-38.05,270.0,top
C45,27.55,-38.05,270.0,top
C46,20.639,-42.6075,180.0,top
C5,21.85,-35.45,0.0,top
C501,21.5,-49.4,90.0,top
C6,24.15,-46.95,90.0,bottom
C601,28.95,-49.35,0.0,top
FPC1,27.96,-24.175,180.0,top
FPC2,33.119,-58.7,90.0,top
FPC3,22.8375,-58.7,270.0,top
L1,28.524,-42.2575,0.0,top
L2,20.4,-41.25,270.0,bottom
LED1,30.1,-21.8,0.0,bottom
Q1,20.8,-57.43,180.0,bottom
Q2,21.525,-61.8525,270.0,bottom
Q3,26.2,-57.4,180.0,bottom
Q4,25.825,-61.875,90.0,bottom
Q5,29.75,-57.4,180.0,bottom
Q6,30.1225,-61.8525,270.0,bottom
Q7,35.225,-57.43,180.0,bottom
Q8,34.525,-61.85,90.0,bottom
R1,20.5,-53.85,90.0,bottom
R101,22.9,-52.85,270.0,top
R102,21.2,-52.8,90.0,top
R11,33.01,-21.58,270.0,bottom
R12,27.1,-41.05,180.0,bottom
R13,27.080726,-39.832425,0.0,bottom
R15,29.95,-23.5,0.0,bottom
R16,27.45,-21.9,270.0,bottom
R17,27.9,-23.5,180.0,bottom
R18,20.54,-23.66,180.0,bottom
R19,20.54,-22.2,180.0,bottom
R2,25.9,-53.85,90.0,bottom
R201,26.75,-52.85,270.0,top
R202,24.5,-52.85,90.0,top
R3,29.45,-53.85,90.0,bottom
R301,31.3035,-52.85,270.0,top
R302,29.8035,-52.85,90.0,top
R4,34.9,-53.85,90.0,bottom
R401,34.3035,-52.85,270.0,top
R402,32.8035,-52.85,90.0,top
R41,20.439,-43.8575,0.0,top
R42,20.424,-41.4075,180.0,top
R43,20.434,-40.1875,0.0,top
R501,21.45,-47.2,0.0,top
R601,29.4,-47.35,0.0,top
U1,26.27,-31.96,270.0,bottom
U2,32.15,-42.75,90.0,bottom
U3,34.036,-38.85,180.0,top
U4,23.85,-41.0,90.0,top
U5,24.95,-48.95,270.0,top
U6,33.1,-49.05,270.0,top
X1,35.0,-30.22,270.0,bottom
