Designator,Mid X,Mid Y,Rotation,Layer
R67,149.7,-135.2,270.0,top
R68,123.95,-95.25,270.0,bottom
R7,115.35,-105.1,180.0,bottom
R70,103.8,-128.85975,180.0,top
R71,107.55,-130.85975,270.0,top
R72,112.7,-95.75,270.0,bottom
R73,149.5,-66.25,0.0,bottom
R74,144.45,-86.35,270.0,bottom
R76,156.15975,-63.3,180.0,top
R77,126.45,-101.75,270.0,bottom
R78,143.55,-97.5,270.0,bottom
R79,138.7,-88.05,90.0,top
R8,115.20075,-111.246698,180.0,bottom
R80,149.90975,-91.15,90.0,top
R81,124.2,-102.5,0.0,bottom
R82,149.90975,-106.3,90.0,top
R83,149.75,-122.0,90.0,top
R84,149.7,-137.25,90.0,top
R85,156.15975,-78.75,180.0,top
R86,156.15975,-94.2,180.0,top
R87,156.15975,-109.65,180.0,top
R88,156.1375,-125.12,180.0,top
R89,113.8,-135.10975,90.0,top
R9,145.55,-139.2,0.0,top
R90,121.9,-118.0,90.0,bottom
R91,101.7,-128.85975,0.0,top
R92,124.9,-118.0,90.0,bottom
R93,123.4,-118.0,90.0,bottom
R94,126.8,-117.95,90.0,bottom
R95,145.2,-118.45,270.0,bottom
R96,155.90975,-74.9,0.0,top
R97,155.90975,-90.35,0.0,top
R98,155.90975,-105.8,0.0,top
R99,155.90975,-121.25,0.0,top
SW1,104.0,-67.25,180.0,top
SW2,104.0,-76.975,180.0,top
U1,116.725,-71.7,270.0,bottom
U10,107.2125,-89.3,0.0,bottom
U11,139.4,-74.9,270.0,bottom
U13,120.964967,-131.414967,0.0,top
U14,140.535033,-68.785033,180.0,top
U15,128.060033,-131.412533,180.0,top
U16,129.25,-123.85,0.0,bottom
U17,119.75,-118.304,90.0,top
U18,120.0,-100.0,270.0,top
U23,152.270068,-89.75,90.0,top
U24,136.7,-102.7,90.0,top
U26,152.270068,-105.15,90.0,top
U28,152.270068,-120.6,90.0,top
U3,132.914,-90.05,0.0,top
U30,152.25,-136.05,90.0,top
U32,102.85,-131.220068,0.0,top
U4,121.8,-90.25,90.0,top
U41,149.346,-71.2,180.0,bottom
U42,118.9,-97.7,270.0,bottom
U43,147.946,-84.65,180.0,bottom
U44,148.846,-99.95,180.0,bottom
U45,148.846,-116.15,180.0,bottom
U46,131.6,-97.504,90.0,bottom
U47,114.825375,-121.25,0.0,bottom
U48,148.796,-131.95,180.0,bottom
U49,107.996,-131.1,180.0,bottom
U7,152.252568,-74.25,90.0,top
U9,132.564967,-68.714967,0.0,top
USB0,106.2375,-100.05,90.0,bottom
USB1,157.87225,-69.1,90.0,top
USB2,157.87225,-84.55,90.0,top
USB3,157.87225,-100.0,90.0,top
USB4,157.87225,-115.45,90.0,top
USB5,157.85,-130.92,90.0,top
USB6,108.0,-136.82225,0.0,top
X2,138.443746,-110.895854,90.0,top
